id,iupac_key,iupac,cas,name,acentric_factor,formula,molecular_weight,critical_pressure,critical_pressure_unit,critical_temperature,critical_temperature_unit,antoine_a,antoine_b,antoine_c
38,RRHGJUQNOFWUDK-UHFFFAOYSA-N,1S/C5H8/c1-4-5(2)3/h4H;1-2H2;3H3,78-79-5,isoprene,,C5H8,68.119,558,psi,412,farenheit,3.21586,706.92,-87.046
39,UHOVQNZJYSORNB-UHFFFAOYSA-N,1S/C6H6/c1-2-4-6-5-3-1/h1-6H,71-43-2,benzene,0.2108,C6H6,78.114,710.4,psi,552.22,farenheit,4.60362,1701.073,20.806
40,YXFVVABEGXRONW-UHFFFAOYSA-N,1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H;1H3,108-88-3,toluene,0.2641,C7H8,92.141,595.5,psi,605.57,farenheit,4.08245,1346.382,-53.508
41,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H;2H2;1H3,100-41-4,ethylbenzene,0.3036,C8H10,106.167,523,psi,651.29,farenheit,4.07488,1419.315,-60.539
42,CTQNGGLPUBDAKN-UHFFFAOYSA-N,1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H;1-2H3,95-47-6,o-xylene,0.3127,C8H10,106.167,541.6,psi,674.92,farenheit,4.93755,1901.373,-26.268
43,IVSZLXZYQVIEFR-UHFFFAOYSA-N,1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H;1-2H3,108-38-3,m-xylene,0.326,C8H10,106.167,512.9,psi,651.02,farenheit,5.09199,1996.545,-14.772
44,URLKBWYHVLBVBO-UHFFFAOYSA-N,1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H;1-2H3,106-42-3,p-xylene,0.3259,C8H10,106.167,509.2,psi,649.54,farenheit,4.44889,1644.214,-40.229
45,PPBRXRYQALVLMV-UHFFFAOYSA-N,1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H;1H2,100-42-5,styrene,,C8H8,104.152,587.8,psi,703,farenheit,4.21948,1525.059,-56.379
46,RWGFKTVRMDUZSP-UHFFFAOYSA-N,1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H;1-2H3,98-82-8,isopropylbenzene,,C9H12,120.194,465.4,psi,676.3,farenheit,4.05419,1555.811,-65.948
47,OKKJLVBELUTLKV-UHFFFAOYSA-N,1S/CH4O/c1-2/h2H;1H3,67-56-1,methyl-alcohol,,CH4O,32.042,1174,psi,463.08,farenheit,5.20409,1581.341,-33.5
